,Content,Category
3326,",Yh  fever ki tablet to nhi lag rhi ji",Primary
3327,",Hnni putt kha hoo ap",Primary
3328,",Shop main hi hoo na",Primary
3329,",August me to aye the na ji",Primary
3330,",Hnji 4 Ko aye the g",Primary
3331,",hum fr 31 August ko  tha last time hmara So aur is baar to aisa kuch hua  g",Primary
3332,",Hmmm",Primary
3333,",Abortion ke Baad to vaise bhi tension Hoti hai ki kuch bhi hoo Sakta hai g",Primary
3334,",Acha ji  Fr ap baby jao na le ao yaar mere ko dar lgta h kuch nhi hua h fr v ",Primary
3335,",vich me kaise aye the ap bol rhe the",Primary
3336,",Kya samhji nhi",Primary
3337,",Aya subodh ji hmm ",Primary
3338,",Aya g",Primary
3339,",jao aur le fr ap jldi",Primary
3340,",Thanku g",Primary
3341,",Mil Gaya mujhe",Primary
3342,",App pauch ke call krna g",Primary
3343,",Hnji g",Primary
3344,",putt kida g",Primary
3345,",Hi hnji",Primary
3346,",Hnji ki hoya g",Primary
3347,",Kuj  ni bas gal krn nu dil krda c gAgar ap koi kam kar rhe to kar lo ji",Primary
3348,",Main Meenakshi ke pass ja rhi hoo g kuch kapre Lee ke Ane hai g",Primary
3349,",Acha kal gye to the baby hmm ji",Primary
3350,",teefan v le jna fr ap ji hmm ky khti ho ji",Primary
3351,",Ok g",Primary
3352,",Kya hau g",Primary
3353,",Kuch nhi kiya tha g",Primary
3354,",Ok g luv u g",Primary
3355,",Ghar pauch Gye g",Primary
3356,",Just abi phucha hoo baby ",Primary
3357,",ap khan h ji",Primary
3358,",Main Ghar g",Primary
3359,",Hnji putt Ab batao ji ",Primary
3360,",Hnji kider msg me baat kro bol ji Bzy h koi kar lo kaam ji",Primary
3361,",Baby yaha college me shriman walle aye aa interview ke liye g",Primary
3362,",De do fr ji hmm ky khati ho ji Agar baat banegi to najdik me job lag jyegi ji",Primary
3363,",Yaar wo fresher lete hai g",Primary
3364,",Experience nhi lete g",Primary
3365,",Ap fresh hi ho bolo ji",Primary
3366,",yh ky baat hoyi ki fresh lena h g",Primary
3367,",Space ka pata nhi Lage ga g",Primary
3368,",Means ky nhi pata chalega ji ",Primary
3369,",internship k liye interview lene aye h g ky hmm ji",Primary
3370,",Nhi job ke liye",Primary
3371,",Fr ky kh rhe h ji ",Primary
3372,",Wo fresher Ko rakhte a baby AJ pata chala",Primary
3373,",Chalo chodo nhi kh rhe h to koi baat",Primary
3374,",khair khin aur dekh lenge ji koi baat nhi bhut hospital  h ji",Primary
3375,",Hmm aur bhi offer aaye ge",Primary
3376,",Hmmm",Primary
3377,",Hnji ji Aur najdik me koi hospital dekh lenge ji  aur ky ji",Primary
3378,",Hmmm hnji ",Primary
3379,",Baise sala smjh nhi aya ki fresh hi kiyu lena Experience wale ko kiyu nhi lena ji",Primary
3380,",Main interview de ayi g",Primary
3381,",Acha ky khate h g Hmm",Primary
3382,",Wo kehte call krenge apko",Primary
3383,",Ok ji chalo dekho ky banta h ji",Primary
3384,",Hmm g ",Primary
3385,",Hnji putt hor putt  ki krda hun ji",Primary
3386,",Kuch nhi baithe aa",Primary
3387,", G",Primary
3388,",Ok ji chalo Hor dso puttt",Primary
3389,",Vadiya g",Primary
3390,",Lunch ho gey ji apka hmm",Primary
3391,",Hi hello g",Primary
3392,",Putt g sorry AJ time nhi de payi g sorry",Primary
3393,",Hi hello ",Primary
3394,",G",Primary
3395,",Gd mrng g luv u g",Primary
3396,",Gd mrng ji ",Primary
3397,",Hi ",Primary
3398,",Mera practical ho Gaya va or viva nhi g ",Primary
3399,",Ok ji",Primary
3400,",ho jayega ji",Primary
3401,",Kuch khaya Apne g luv g putt ",Primary
3402,",nhi ji",Primary
3403,",Ap kha lo ji",Primary
3404,",Plz kuch kha Lena g app ok g baby ",Primary
3405,",Ok ji",Primary
3406,",Kuch khaya Apne g",Primary
3407,",Hnji kuch khaya ki nhi Apne hmm ",Primary
3408,",Hnji  putt kha liya g Sorry mera phone  charge me lag geya ",Primary
3409,",Ok g",Primary
3410,",Ho geya g ",Primary
3411,",Hnji apka viva ji hmm ji",Primary
3412,",Ap v kr lo rest ji bye ",Primary
3413,",Hi",Primary
3414,",Baby maine ek Kapra Liya ...",Primary
3415,",Multi shade me g",Primary
3416,",Ok ji",Primary
3417,",Gd nt ji ",Primary
3418,",Kya hau g tik to hoo app",Primary
3419,",Hnji tk hoo ji Ap v thakk gyi jo so jao ji",Primary
3420,",Apko mein dekh Rahi hoo AAP baat nhi KR rahe hoo meri se galti hoo gayi hai g",Primary
3421,",Nhi koi galti nhi hoyi h baat kar to rha tha g Aisi koi baat nhi h g",Primary
3422,",Ok app upset to nhi hoo na",Primary
3423,",Nhi aisi koi baat nhi ji",Primary
3424,",App tik hoo g",Primary
3425,",jab apka baat krne ka mann ho call kr lena",Primary
3426,",Ok g agar call me baat krni hai to kar loo g",Primary
3427,",free ho kar ji",Primary
3428,",nhi koi baat aisi v tk h ji",Primary
3429,",Hnji phuch gye g hmmm",Primary
3430,",Can't talk now. What's up?",Primary
3431,",Puach gyi g",Primary
3432,",Ki hoya ",Primary
3433,",I m in bus ",Primary
3434,",Baise puch rha tha acha ji",Primary
3435,",khan phuce ji",Primary
3436,",Ohhhk bas pauchne wale aa fatak te aa",Primary
3437,",Ok g ",Primary
3438,",stuy to ki thi na ap ne g",Primary
3439,",Hnji ",Primary
3440,",Ki haal a",Primary
3441,",Hnji aa gye ji",Primary
3442,",ghar hmm",Primary
3443,",Abhi ghar nhi college aa",Primary
3444,",Hi hello putt g ",Primary
3445,",Mainu thode paise cahiye ",Primary
3446,",Hnji putt ",Primary
3447,",""Trip Jana hai mangalvaar ko,...",Primary
3448,",kine chahide ji",Primary
3449,",""Trip Jana hai mangalvaar ko,...",Primary
3450,",500 cahide aa",Primary
3451,",Subodh to jawab hi nhi de Reha hai ",Primary
3452,",acha ji le layi ji",Primary
3453,",Ok g thanku g",Primary
3454,",Le lyi ji",Primary
3455,",ok ji",Primary
3456,",Thanku珞",Primary
3457,",Humari puri class ja Rahi aa",Primary
3458,",Ok ji jao ji le lena ap paise",Primary
3459,","" Sumiti,harman,Kamal,sapna, Kamal parbhakar.. hum ja rahe aa",Primary
3460,",Yaar ap kisi k sath v jao mere ko koi problem  nhi h ji",Primary
3461,",Vaise Bata Rahi hoo apni class ke sath ja rhi hoo g",Primary
3462,",Ok jiAp kisi k sath jao mere ko koi problem nhi h ji Class k sath jao Yh bhar walo k sath ji",Primary
3463,",enjoy kro ji ap v",Primary
3464,",Thanku g....",Primary
3465,",Ok ji",Primary
3466,",Luv u g",Primary
3467,",Ok ji love you",Primary
3468,",Hmmm ",Primary
3469,",Hnji",Primary
3470,",Hi g ",Primary
3471,",Hnji  bhar h g",Primary
3472,",Bzy h ji",Primary
3473,",Ajj kal kon kis k liye karta h Jo karta h phagwan phale se hi rachta h Khta h maa baap k bina gujra nhi hota  hJab maa baap hame chod kr chale jate gujra hota h Jo v khta ho such khta hoo Ajj kal such sun ne ki himaat na rhi Tabhi to phale jaise insaaniyat na rhi Jisko v hum ajj apna smjh te hMatlab khatm hone pe gair smjhta h Ae khuda tune me ko insaan na baya hota Janwar bnaya hota kam se kam to waffadari hoti... Kam se kam waffadari to hoti........Jitni meri aukaat h us se jyda krne ki kosis karta ho Isnsaan hoo isnsaaniyat se payar karta hooJis se v payar kro had se v jayda kre Agar koi ap se naffrat v kare to naffrat ki koi gunjais na rhe ",Primary
3474,",Gd mrng ji ",Primary
3475,",Mrng",Primary
3476,",Uth geya putt",Primary
3477,",Uth geya putt",Primary
3478,",Uth geya putt",Primary
3479,",Assi Jana VA baby par paise cahiye mujhe ",Primary
3480,",Kine g",Primary
3481,",Ab to zayada paise cahiye puch ke bataoungi",Primary
3482,",Ok ji",Primary
3483,",tk aa g",Primary
3484,",baata dena g",Primary
3485,",Ok g",Primary
3486,",Baby 3000 cahiye mujhe ",Primary
3487,",Hai apke pass",Primary
3488,",Le lena agar ghumne jana h to",Primary
3489,",Jab chahiye to bata dena ji",Primary
3490,",Hum Mangalwar Ko jaye ge g",Primary
3491,",Miss u g",Primary
3492,",Ok ji",Primary
3493,",Hnji ji khna kha liya g ",Primary
3494,",Ok baby  gd nt@",Primary
3495,",Bzy lag rhe h ap kaffi g",Primary
3496,",Hnji baby Meenakshi ke pass hoo. G aniversery ",Primary
3497,",Aa ta sare baithe aa",Primary
3498,",Ok sorry distrub krne k liye  g",Primary
3499,",Hnji so gye h g ap@",Primary
3500,",Nhi g ",Primary
3501,",Saree baithe aa g",Primary
3502,",Ajj chat KR lo plzz hmm",Primary
3503,",Apka din kaisa Gaya g",Primary
3504,",Hmmm",Primary
3505,",Koi baat nhi baby hum kal baat kar lenge ",Primary
3506,",apko sabhi time dena chahye  g",Primary
3507,",Abhi deer baat KR lo plzz AAP aise mat bola karo plzz mujhe bhaut Bura lagta hai g",Primary
3508,",Plzzz sorrrry",Primary
3509,",I luv u soo much app aise mat bola kro bhaut Bura lagta hai ... Mana hum busy rehte hai plzz Aisa mat bola kro g ",Primary
3510,",Kis sorry kuch nhi ap baat kro free ho kar lena",Primary
3511,",koi baat  nhiChalo agge nhi khenge ji",Primary
3512,",Plzzz ",Primary
3513,",Jab free ho jao tan kar lena ji",Primary
3514,",Ok g",Primary
3515,",Apka din kaisa gay g",Primary
3516,",Apne kuch khaya ki nhi hmm",Primary
3517,",Wait putt krda mai call",Primary
3518,",Hnji ki hoya",Primary
3519,",Dasoo ta sahi kithe hoo",Primary
3520,",Free ho geya putt",Primary
3521,",Hmm hnji hoo Gaya daso main Ava ki nhi daso g",Primary
3522,",Ik mint",Primary
3523,",Ok",Primary
3524,",Pauch gyi main ",Primary
3525,",Sorry putt pata nhi chala g",Primary
3526,",Hnji",Primary
3527,",Soryy krdi aaa putt call",Primary
3528,",Gd nt ji",Primary
3529,",Sorry g ",Primary
3530,",Hnji putt g sorry mein busy hoo gyi thi g",Primary
3531,", Ab ky hua",Primary
3532,",sona h to fr so jao ji",Primary
3533,",Ok kuch nhi hau g",Primary
3534,",Gd Mrng mote",Primary
3535,",Gd mrng g ",Primary
3536,",Hi hello hnji kida g ",Primary
3537,",Ki haal A g",Primary
3538,",Ghar pauch ke kar diyo mainu ok g",Primary
3539,",Phuch geya ho ji",Primary
3540,",Ok g kuch kha loo ek baat bataooungi g",Primary
3541,",Hnji fresh hoo Gye g",Primary
3542,",Call kra main g",Primary
3543,",Hnji Dass dayiyoo g",Primary
3544,",Kha liya g",Primary
3545,",Ok g",Primary
3546,",Gd mrng",Primary
3547,",Gd mrng baby ",Primary
3548,",Gd mrng g",Primary
3549,",hnji ki lrde ",Primary
3550,",Kuch nhi bas ",Primary
3551,",Hii",Primary
3552,",kida g",Primary
3553,",Tik aa",Primary
3554,",Kam kar rhe koi",Primary
3555,",TV ",Primary
3556,",Ok dekh lo ji  ap",Primary
3557,",Hmm",Primary
3558,", Hi heello",Primary
3559,",Hi kaise hoo g",Primary
3560,",Tk h g",Primary
3561,",Ok g main to bore ho thi ho",Primary
3562,",Tv dekho",Primary
3563,",Bore hoo gyi main dekh kr ab main sabji cut or Rahi hoo time pass fr practice me jaoungi",Primary
3564,",video dekho  ji",Primary
3565,",Jao ji fr ap ",Primary
3566,",Bore ho gyi main",Primary
3567,",is liye time pass kar rhe ho mere se ",Primary
3568,",Hmmm kya kro",Primary
3569,",bore nhi hote to msg nhi karte ji",Primary
3570,",Mere ko ky pata ji",Primary
3571,",""Main bas ghar me  baithe, latte bore ho gyi",Primary
3572,",ky karna h ap ne ji",Primary
3573,",Call kro apko agar free hoo to",Primary
3574,",Acha ji Shi h g kam kar lo koi time pass ho jyega ",Primary
3575,",Call kro apko agar free hoo to",Primary
3576,",Free ho mai to abi",Primary
3577,",Ok krti hoo call",Primary
3578,",Hnji ji",Primary
3579,",sorry thoda kam aa geya tha ji",Primary
3580,",Maine kha kal ky ",Primary
3581,",Hnji  bolo kuch ",Primary
3582,", Kuch nhi socha g ",Primary
3583,",Khan ji kuch nhi kiya g",Primary
3584,",Ok ji",Primary
3585,",kal ka v bna  lo agar bnta h to ji hmm ",Primary
3586,",Hi",Primary
3587,",Helo",Primary
3588,",Hnji",Primary
3589,",Kha hoo g",Primary
3590,",App ",Primary
3591,",Bas nikal rha hoo ji",Primary
3592,",ky hua g",Primary
3593,",Ghar pauch ke KR dena",Primary
3594,",Gd mrng",Primary
3595,",Gd mrng ji  ky phone ni utha rhe ji",Primary
3596,",Hnji sorry",Primary
3597,",Gd mrng",Primary
3598,",Kaise ho g",Primary
3599,",Hi hello kaise hoo g",Primary
3600,",Hi agar ghar pauch jaye to msg KR Dena ok g",Primary
3601,",Hnji aa geya hoo ghar",Primary
3602,",Ok g kuch kha lo AAP g",Primary
3603,",Ok  kha liya",Primary
3604,",Ok g  ",Primary
3605,",Ok",Primary
3606,",Chalo  ap v kro rest ",Primary
3607,",Ap KR lo g rest",Primary
3608,",App thake honge g ",Primary
3609,",Subah se g ",Primary
3610,",Mai kar rha hoo jab neend ayegi so jaonga ",Primary
3611,",Main bhi kr Rahi hoo g jab need aayegi to so jaoungi",Primary
3612,",Ok jiDin kaisa tha g ap ka",Primary
3613,",Lgta ap tv dekh rhe chalo dekh lo ji",Primary
3614,",Tik tha g apka din kaisa tha .... App TV dekh lo",Primary
3615,",Mera to band h app ne dekhna to dekh lo",Primary
3616,",Mera bhi band hai Apne dekhna hai to dekh lo",Primary
3617,",Ap koi kam me bzy the ajj din bhar ji",Primary
3618,",Mera bhi band hai Apne dekhna hai to dekh lo",Primary
3619,",Nhi ... AAP busy the din bhar ji",Primary
3620,",Recharge khatam h ji mera Ap khna ky chati meri baat ulta hi answer kar rhi h ",Primary
3621,",agar baat  nhi karni to matt kro koi baat nhi ji",Primary
3622,","" Main jawab de Rahi hoo mere Dil me jo sawal hai wo KR Rahi hoo  .., agar apko baat nhi krni hai to mat baat kro..... Koi baat nhi...",Primary
3623,",Jab ap k pass time tha mere pass nhi ji aur  to kuch nhi",Primary
3624,",baat krni h to kar mere koi problem  nhi apko hi hoti ",Primary
3625,",Mere pass time tha  par apke pass nhi tha aur kuch nhi ... ",Primary
3626,",Ki hoya",Primary
3627,",Kisi ne kuch keha tahanu",Primary
3628,",Gd nt ",Primary
3629,",Khna ki chaonda ",Primary
3630,",Acha g",Primary
3631,",sona te  so ja darma na kar mere agge",Primary
3632,",Acha g",Primary
3633,",Drama ?",Primary
3634,",Gal bandeyan wangu kar la dil h tan nhi chup chap so ja",Primary
3635,",Par main ta Bandi aa",Primary
3636,",Ok",Primary
3637,",sorry thoda mai smjhdar ghat aa sorry galti ho gyi ji ",Primary
3638,",Jis time tera gal karn nu dil krega kar lyi",Primary
3639,",Gd nt",Primary
3640,",Time tere kol h nhi nakhre mainu kar k dikhao ",Primary
3641,",Bnde da dimag kharb kar k gd nt kho ",Primary
3642,",Sorry ",Primary
3643,",Time waste krne ke liye ",Primary
3644,",Masla ki sala  mainu v pata lge",Primary
3645,",koi gal ni baat ni nakhre kri jna bina vje",Primary
3646,",Masla ki das je tere kol time h tan mainu pata lge sala din thakeya bnda  gal pata ame aokhe aa",Primary
3647,",Kuch nhi g",Primary
3648,",Gal krn nu tera mann h yh nhi das do fr naai call kra ",Primary
3649,",Tu gussa avi hoyi janda si",Primary
3650,",Main ta avi majak KR Rahi si repeat words",Primary
3651,",Fr tusi call cut KR dita",Primary
3652,",Ok ji gd nt so gye lgta h g",Primary
3653,",Ok ji gd nt so gye lgta h g",Primary
3654,",Wattapps check kro lo ji",Primary
3655,",Baat ho skti h ab yh nhi",Primary
3656,",yes or no",Primary
3657,",Nhi I m really sorry g",Primary
3658,",Ab ky hua yaar mere smjh nhi aa rha kis baat ka gussa",Primary
3659,",Nhi krni ap ne baat ",Primary
3660,",Ab Sara gussa khatam hoo Gaya hai g ",Primary
3661,",Par baat nhi KR Sakti hoo g mujhe Sona hai g ",Primary
3662,",Apne bola main formalities krti hoo ",Primary
3663,",Call kro   bolo baat kro to shi mere  ",Primary
3664,",Apne bola main formalities krti hoo ",Primary
3665,",Ab raho hemasha mere Bina ",Primary
3666,",baat krni h yh nhi baby  rha",Primary
3667,",jjab dekho sona h ",Primary
3668,",mai to kbhi khta nhi k mere pass time nhi",Primary
3669,",Call kar call uthao ji",Primary
3670,",nhi uthana ap ne akhri bar puch rha hoo ji",Primary
3671,",Main bhi akhri Baar keh Rahi hoo g",Primary
3672,",Nhi krni na baat ap ne its ok ji",Primary
3673,",Gd mrng putt baat krni h yh nhi ji",Primary
3674,",raat ka gussa kam ho geya to ji",Primary
3675,",Baat krni h yh nhi g mere ko bata do tan ki mai bar bar call na kro ",Primary
3676,",Gd mrng",Primary
3677,",Baat krni h",Primary
3678,",yh nhi  fr mai bar bar call na kro ji",Primary
3679,",KR lena",Primary
3680,",Ap ko kam h to kar lo Ap ne pick nhi kiya",Primary
3681,",Lga Liya pad g maine",Primary
3682,",Mujhe lagta hai medicine ka Kamal ho Gaya ",Primary
3683,",Hnji ",Primary
3684,",ik to phan liya",Primary
3685,",dusra v phano ji fr hi pata chalega  g",Primary
3686,",Ok g",Primary
3687,",So rhe the ky hmm",Primary
3688,",Nhi g",Primary
3689,",ji abi khan church jna h g",Primary
3690,",Nhi g",Primary
3691,",Fr tk lg rha to phno ji",Primary
3692,",Hmmmm",Primary
3693,",Phan k dikhao  ge baby hmm abi yh bad me ji",Primary
3694,",Ok Baad ne dikha dungi g ",Primary
3695,",Ok ji Chalo rest kro ji",Primary
3696,",Ok Abhi main church ja Rahi hoo g Baad me dikha dungi g ",Primary
3697,",Jao ji agr shi nhi lag rha to matt jaoTk ho to chale jao ji",Primary
3698,",Ok g",Primary
3699,",Acha apko ko kon sa pasand aya g",Primary
3700,",So gye g tan gd nt putt",Primary
3701,",Nhi Hale Sona VA g ",Primary
3702,",Putt main Meenakshi de ghr aa ok g",Primary
3703,",Ok g",Primary
3704,",Chalo tk h g fr kro baate g",Primary
3705,",gd nt ji",Primary
3706,",Ok g ",Primary
3707,",Bhaiya baithe aa Baad me baat krti hoo g",Primary
3708,",Hnni",Primary
3709,",Pauch gyi aa",Primary
3710,",Church ji",Primary
3711,",We got 2 prize g",Primary
3712,",Mubarakan  ji bhut bhut",Primary
3713,",Gd nt g ",Primary
3714,",Gd nt ji",Primary
3715,",Mai Marriage  te nhi aa hune hi mainu aunty huna di call ayi c g So tu c apna program set kr lo jna yh nhi jna g",Primary
3716,",Ok ",Primary
3717,",Mai Marriage  te nhi aa hune hi mainu aunty huna di call ayi c g So tu c apna program set kr lo jna yh nhi jna g.              tik hai .....",Primary
3718,",Mainu aa wappas send kita ",Primary
3719,",putt nhi gal krni uda kh de ji Mainu koi problem nhi aa g",Primary
3720,",jo mai msg tainu send kita g...... Tu mere kheejeya kiyu peya aa ",Primary
3721,",Main eh vi likhiya tik aa ok ",Primary
3722,",Ok Kheejeya peya aa ki gal",Primary
3723,",Agar apko mere se baat nhi krni h To koi ap bata do call yh msg nhi krunga apko",Primary
3724,",Ik baat bolo apko kaffi din se dekh rha ho ji Ap mere se majboori me baat krte h...... ",Primary
3725,",Hmm ok ",Primary
3726,",Ky ok ji baat nhi krni",Primary
3727,",Nhi krni baat ",Primary
3728,",Tk h maat kro baat ji",Primary
3729,",Ok ",Primary
3730,",Ab mai thakk geya hoo yaar Ap ka jo mann h kro mann baat kro nhi matt kro",Primary
3731,",Maine ne kiyu nhi krniHath pair jod kar thakk geya ho apko manna kar ji Mere ko ajj takk kisi nhi manaya mai ab kitna manata rhoo ji",Primary
3732,",I m busy right now.....",Primary
3733,",Acha ji Tu c chaonde ki aa ji Mai roj pareshan ni rhna chonda ji",Primary
3734,",Free kab hoge bata  do us time kar leta ho apko",Primary
3735,",Ok ",Primary
3736,",Ky ok ji",Primary
3737,",Mai wo hi puch rha ho ap ko kab call kr skta yh nhi kar skta Ap mere chahti ky h bata do ",Primary
3738,",Can't talk now. What's up?",Primary
3739,",Ok and sorry Kro ap apna kam ji ",Primary
3740,",Main bahar ayi hoo yaar ",Primary
3741,",Ok ji Kro g ap kam ",Primary
3742,",Ho geya free ",Primary
3743,",""Koi khass baat krni hai Apne, Apne nhi ana hai to koi baat nhi g... I m ok ",Primary
3744,",Vaise baat kya karni hai Apne ?",Primary
3745,",Ok",Primary
3746,",jab koi baat tab hi krni h ",Primary
3747,",nhi matt kro chodo",Primary
3748,",Apne baat nhi ji Baat baise krni koi its ok",Primary
3749,",Main frnd ke ghar ayi hoo  msg me bolo",Primary
3750,",Baat nhi krni apne akhri bar puch rha hoo",Primary
3751,",Mai pagal ho bar bar call kr rha hoo",Primary
3752,",Abhi nhi krni aa yaar",Primary
3753,",Abhi nhi krni aa yaar",Primary
3754,",Frnd k ghar baat nhi hoti ky  apko pakad k rakha ky usne ",Primary
3755,",jo baat nhi ho skti ",Primary
3756,",Msg me bhi baat hoo Sakti hai g ",Primary
3757,",Ok ji",Primary
3758,",Sorry apko call kiya apko ji",Primary
3759,",ap kro jab maine koi khass baat krni hogi fr hi krunga ab call",Primary
3760,",Ab khass baaton par hi call krunga Mere nhi pata ki ap khass baton aur khass logo ki baat  krti aur sunti h g",Primary
3761,",sorry agge khayal rkhunga g",Primary
3762,",Jo marji bolo",Primary
3763,",Jo marji bolo ka ky matlab mrng se call kr rha ",Primary
3764,",To...... ",Primary
3765,",Kuch nhi yaar rhne do",Primary
3766,",Galti ho gyi call kr k ap ne kuch nhi kha ji",Primary
3767,",Tumhe kuch kehna hai to keh lo nhi to Kam KR lo ap",Primary
3768,",Jab apk pass mere liye time tab bolna",Primary
3769,",jis din v time hoga us din ji ajj kal parso jab v",Primary
3770,",Hoya free yh nhi Hai merw lyi time yh nhi ji",Primary
3771,", Abbi bhi still frnd home",Primary
3772,",Acha mere janta h k nhi frnd jo ap baat ni kar skte",Primary
3773,",Ghar ja kar msg krna ji",Primary
3774,",Ok ",Primary
3775,",Ok ho ske to ajj mere sath aunty k chalo ji",Primary
3776,",ky khsti plz agar ap chal skte h to",Primary
3777,",Kyu ?",Primary
3778,",Kya hau ?",Primary
3779,",Aunty ke kyu Jana baat hi krni hai to ",Primary
3780,",Chalo  na yaar plz",Primary
3781,",Hnji ky khate h g hmm ji",Primary
3782,",aur baby call utha lena ji",Primary
3783,",Kya?",Primary
3784,",Chal skti ho bolo ji",Primary
3785,",ap aunty apko koi problem to nhi na baby",Primary
3786,",hmmmm",Primary
3787,",Sorry han baby agar kuch apko bolo  to",Primary
3788,",Sorry baby I love you ",Primary
3789,",Free ho kar krna baby call ji",Primary
3790,",Call pick kri plz",Primary
3791,",Baby dant to ni padi jiBaby abi mai doctor k pass baitha hoo ji",Primary
3792,",Ok pic send KR Dena mujhe",Primary
3793,",mere samne accident hua aur mai v usi gadi me ja takrra geya",Primary
3794,",Hain. Pagal dyan kha hai apka",Primary
3795,",gadi  me baby 6 month ka baby tha jo gadi se bhar gir geya ",Primary
3796,",dant to ni padi ji",Primary
3797,",Ghar ja kar call krta hoo ji",Primary
3798,",Ok tik hoo na",Primary
3799,",Apko chot to nhi lagi",Primary
3800,",Helmat phana tha to  nhi kuch Jinka hua baby ik lady ko lagi ji",Primary
3801,",Apko dant to ni padi hmm bolo ji",Primary
3802,",Nhi PADI app tik hoo ye batao",Primary
3803,",Hmm tk hoo sachi Nhi padi na dant ji",Primary
3804,",Chalo ghar ja kar call krta hoo ji",Primary
3805,",Ok g KR Dena ",Primary
3806,",Pauch Gye g app",Primary
3807,",Gd mrng baby ",Primary
3808,",uth geya baby hmmm ji ",Primary
3809,",Gd mrng baby",Primary
3810,",Uth geya baby",Primary
3811,",Hmm hnji ",Primary
3812,",Hmm ",Primary
3813,",Hnji putt bolo",Primary
3814,",Kuch nhi KR lo Kam dekh lungi g ",Primary
3815,",Ok chabhi le loonga mai so pakka kar lena baby",Primary
3816,",Baby shayad main na aa paoun g ",Primary
3817,",Mujhe aj sach me Kam padh jayega",Primary
3818,",Mere to nhi aaaa hona g ",Primary
3819,",Tusi ghar chal jayiyo",Primary
3820,",Baby sham takk to yaar free ho jaogi na",Primary
3821,",bad me to baise v nhi baith payenge ji",Primary
3822,",aunty sab ne aa jna h ",Primary
3823,",baki jaisa ap kho ji",Primary
3824,",Nhi mujhe sari press krni hai ",Primary
3825,",Kar lo na yaar itna time pada ky krti ho abi sara din ky krogi jo kam h khatam kar lo",Primary
3826,",Bad me hum baise nhi ho payega Chalo koi baat mai koi forace nhi krunga apko ap kr lo apna kam ji",Primary
3827,",Ok g ",Primary
3828,",Ky ok baby  ",Primary
3829,",Nhi aa paungi main vaise bhi mujhe Kam krna hai ",Primary
3830,",Dario ready krni hai g",Primary
3831,",Sari ready krni hai g",Primary
3832,",Ok ji  Ap kr lo tayari ji ",Primary
3833,",Koi baat Ni hum fir kabhi mil leinge. G",Primary
3834,",Sach bolo baby acha ni laga ji bad feel ho rha  Pata nhi mai marriage me aa paonga k nhi Bad me fr pata chalo koi baat nhi ji",Primary
3835,",Koi baat Ni g. I m feeling very tired G.",Primary
3836,",Main travel ni kar aaungi g",Primary
3837,",bad me to hotel dekhna apdega  Chalo chodo koi baat",Primary
3838,",sab tk h baby koi baat nhi",Primary
3839,",Tik aa",Primary
3840,",Evening  yh mrng me travel ni  paoge",Primary
3841,",""Koi ni, dekh lawaange",Primary
3842,",No I can't travel",Primary
3843,",Scooty ni le kar aoge yh kh rhe ho ap ji hmm",Primary
3844,",Yes",Primary
3845,",Apko problem hogi to rhne do",Primary
3846,",Waise v mainu ajj kamm ya",Primary
3847,",I can't come today",Primary
3848,",ok kr lo ji ap kam ji",Primary
3849,",its ok ji",Primary
3850,",Apko problem hogi to rhne do....................... Ok ",Primary
3851,",Ok. Ba bye",Primary
3852,",Ok ji",Primary
3853,",bye ji kro@",Primary
3854,",Hnji g ki krde",Primary
3855,",Kuch nhi h",Primary
3856,",Baby agar time  mile to baat kar kuch baat krni thi",Primary
3857,",Acha kya baat krni hai ",Primary
3858,",Free ho ji",Primary
3859,",Hnji bolo g",Primary
3860,",Jab ap bilkul free ho jaoge to btna g",Primary
3861,",Ok g",Primary
3862,",Baat kya krni hai",Primary
3863,",Hnji baby  ho gye free ji ",Primary
3864,",Agar so gye h to gd nt baby ",Primary
3865,",Putt phone chakk lawo",Primary
3866,",Putt tu c jagde ho phone pick kro yaar",Primary
3867,",plz",Primary
3868,",plz",Primary
3869,",Putt phone pick kro plz nhi sunny ko bol dunga didi ko phone do",Primary
3870,",Hi",Primary
3871,",Kal pakka rha baby fr ji",Primary
3872,",No ",Primary
3873,",Pick up the phone ",Primary
3874,",Gal tan kro putt",Primary
3875,",Baby ap johnson  se puchna ki jo ladka  navjeevan me kam krta  h uska no h baby",Primary
3876,",Hmmm",Primary
3877,",Hoga g",Primary
3878,",batana mere ko  puch kar ji",Primary
3879,",Baby yaar miss kar rha lgta h ji Mai v aa jao ky bolo hmm",Primary
3880,",bolo na ji hmm aa jao ji ",Primary
3881,",church ji hmmmm",Primary
3882,",Apko dekh mann kar rha anne ka g",Primary
3883,",Aa jao mai hmm bolo ji ky khti ho ji",Primary
3884,",Bolo na aa jao ji hmm ",Primary
3885,",Abhi shop open nhi huyi baad me ho jyegi fr nhi aa paonga ji",Primary
3886,",Aa jao g ",Primary
3887,",Aa jao agar man hai to",Primary
3888,",Hnji",Primary
3889,",Hnji putt",Primary
3890,",Hni",Primary
3891,",Church me hi",Primary
3892,",Acha Aa jao ky yh rhne doo",Primary
3893,",hnji baby  bolo apko acha lagega g merr anne se",Primary
3894,",Hnji putt bolo ji aa jao yh rhnde fr bad me nikal nhi paonga ji",Primary
3895,",Rehne do ",Primary
3896,",Kiyu ky hua baise mera h apk sath time  spend krna h g",Primary
3897,",Baby khin dar rha hoo ki apka mood na off ho jye mere anne se ji",Primary
